time,zu1_xy,y,x,wspeed_10m*_xy
0 days 14:59:59,6.0,36.0,2988.0,2.1746554
0 days 14:59:59,6.0,36.0,3012.0,1.9947896
0 days 14:59:59,6.0,36.0,3036.0,2.4608066
0 days 14:59:59,6.0,36.0,3060.0,1.6891664
0 days 14:59:59,6.0,60.0,12.0,1.8494698
0 days 14:59:59,6.0,60.0,36.0,1.4383243
0 days 14:59:59,6.0,60.0,60.0,1.2113363
0 days 14:59:59,6.0,60.0,84.0,2.0391192
0 days 14:59:59,6.0,60.0,108.0,1.9218118
0 days 14:59:59,6.0,60.0,132.0,1.8024031
0 days 14:59:59,6.0,60.0,156.0,0.24827927
0 days 14:59:59,6.0,60.0,180.0,2.1844013
0 days 14:59:59,6.0,60.0,204.0,1.7480952
0 days 14:59:59,6.0,60.0,228.0,2.7141762
0 days 14:59:59,6.0,60.0,252.0,2.762986
0 days 14:59:59,6.0,60.0,276.0,1.2481662
0 days 14:59:59,6.0,60.0,300.0,1.0086938
0 days 14:59:59,6.0,60.0,324.0,2.6014922
0 days 14:59:59,6.0,60.0,348.0,2.0397232
0 days 14:59:59,6.0,60.0,372.0,0.29080543
0 days 14:59:59,6.0,60.0,396.0,2.8189719
0 days 14:59:59,6.0,60.0,420.0,2.5347066
0 days 14:59:59,6.0,60.0,444.0,2.4938345
0 days 14:59:59,6.0,60.0,468.0,2.5120096
0 days 14:59:59,6.0,60.0,492.0,0.18400532
0 days 14:59:59,6.0,60.0,516.0,2.6839004
0 days 14:59:59,6.0,60.0,540.0,2.697089
0 days 14:59:59,6.0,60.0,564.0,3.0831568
0 days 14:59:59,6.0,60.0,588.0,2.2077909
0 days 14:59:59,6.0,60.0,612.0,2.4496446
0 days 14:59:59,6.0,60.0,636.0,3.0346165
0 days 14:59:59,6.0,60.0,660.0,1.0704837
0 days 14:59:59,6.0,60.0,684.0,2.6777146
0 days 14:59:59,6.0,60.0,708.0,2.8194075
0 days 14:59:59,6.0,60.0,732.0,2.7102745
0 days 14:59:59,6.0,60.0,756.0,2.9793777
0 days 14:59:59,6.0,60.0,780.0,2.8650553
0 days 14:59:59,6.0,60.0,804.0,3.2302938
0 days 14:59:59,6.0,60.0,828.0,3.442526
0 days 14:59:59,6.0,60.0,852.0,3.5581152
0 days 14:59:59,6.0,60.0,876.0,3.266335
0 days 14:59:59,6.0,60.0,900.0,3.4768076
0 days 14:59:59,6.0,60.0,924.0,3.2459905
0 days 14:59:59,6.0,60.0,948.0,1.1446806
0 days 14:59:59,6.0,60.0,972.0,2.3893917
0 days 14:59:59,6.0,60.0,996.0,1.019122
0 days 14:59:59,6.0,60.0,1020.0,1.3422718
0 days 14:59:59,6.0,60.0,1044.0,1.1498786
0 days 14:59:59,6.0,60.0,1068.0,1.3464026
0 days 14:59:59,6.0,60.0,1092.0,1.3692362
0 days 14:59:59,6.0,60.0,1116.0,1.2835464
0 days 14:59:59,6.0,60.0,1140.0,1.2979624
0 days 14:59:59,6.0,60.0,1164.0,1.0643103
0 days 14:59:59,6.0,60.0,1188.0,2.3523874
0 days 14:59:59,6.0,60.0,1212.0,2.1337185
0 days 14:59:59,6.0,60.0,1236.0,2.5260668
0 days 14:59:59,6.0,60.0,1260.0,1.1048691
0 days 14:59:59,6.0,60.0,1284.0,2.1346571
0 days 14:59:59,6.0,60.0,1308.0,2.103412
0 days 14:59:59,6.0,60.0,1332.0,2.4593477
0 days 14:59:59,6.0,60.0,1356.0,3.0590117
0 days 14:59:59,6.0,60.0,1380.0,0.51359665
0 days 14:59:59,6.0,60.0,1404.0,1.5131724
0 days 14:59:59,6.0,60.0,1428.0,2.9179544
0 days 14:59:59,6.0,60.0,1452.0,1.0528824
0 days 14:59:59,6.0,60.0,1476.0,1.6691043
0 days 14:59:59,6.0,60.0,1500.0,1.5802941
0 days 14:59:59,6.0,60.0,1524.0,2.589885
0 days 14:59:59,6.0,60.0,1548.0,1.1204128
0 days 14:59:59,6.0,60.0,1572.0,1.4135443
0 days 14:59:59,6.0,60.0,1596.0,1.095789
0 days 14:59:59,6.0,60.0,1620.0,0.8502801
0 days 14:59:59,6.0,60.0,1644.0,0.9278504
0 days 14:59:59,6.0,60.0,1668.0,0.96358967
0 days 14:59:59,6.0,60.0,1692.0,2.4831626
0 days 14:59:59,6.0,60.0,1716.0,2.4382834
0 days 14:59:59,6.0,60.0,1740.0,2.0148933
0 days 14:59:59,6.0,60.0,1764.0,2.2781494
0 days 14:59:59,6.0,60.0,1788.0,2.5726728
0 days 14:59:59,6.0,60.0,1812.0,2.6900792
0 days 14:59:59,6.0,60.0,1836.0,2.6982117
0 days 14:59:59,6.0,60.0,1860.0,2.7015765
0 days 14:59:59,6.0,60.0,1884.0,2.7457986
0 days 14:59:59,6.0,60.0,1908.0,2.9074624
0 days 14:59:59,6.0,60.0,1932.0,2.6789558
0 days 14:59:59,6.0,60.0,1956.0,2.9067378
0 days 14:59:59,6.0,60.0,1980.0,2.4369538
0 days 14:59:59,6.0,60.0,2004.0,2.8430686
0 days 14:59:59,6.0,60.0,2028.0,2.9460022
0 days 14:59:59,6.0,60.0,2052.0,1.3558531
0 days 14:59:59,6.0,60.0,2076.0,2.6420794
0 days 14:59:59,6.0,60.0,2100.0,2.3674107
0 days 14:59:59,6.0,60.0,2124.0,1.008184
0 days 14:59:59,6.0,60.0,2148.0,2.4375634
0 days 14:59:59,6.0,60.0,2172.0,2.4019685
0 days 14:59:59,6.0,60.0,2196.0,1.4433722
0 days 14:59:59,6.0,60.0,2220.0,2.1976395
0 days 14:59:59,6.0,60.0,2244.0,2.246855
0 days 14:59:59,6.0,60.0,2268.0,2.3706946
0 days 14:59:59,6.0,60.0,2292.0,0.98807204
0 days 14:59:59,6.0,60.0,2316.0,0.9993286
0 days 14:59:59,6.0,60.0,2340.0,1.8642396
0 days 14:59:59,6.0,60.0,2364.0,1.8543735
0 days 14:59:59,6.0,60.0,2388.0,1.1921788
0 days 14:59:59,6.0,60.0,2412.0,1.2296795
0 days 14:59:59,6.0,60.0,2436.0,0.77455074
0 days 14:59:59,6.0,60.0,2460.0,2.318096
0 days 14:59:59,6.0,60.0,2484.0,1.2208332
0 days 14:59:59,6.0,60.0,2508.0,1.2555982
0 days 14:59:59,6.0,60.0,2532.0,2.0214865
0 days 14:59:59,6.0,60.0,2556.0,1.3652295
0 days 14:59:59,6.0,60.0,2580.0,0.98937535
0 days 14:59:59,6.0,60.0,2604.0,2.3582401
0 days 14:59:59,6.0,60.0,2628.0,2.6247313
0 days 14:59:59,6.0,60.0,2652.0,0.3037626
0 days 14:59:59,6.0,60.0,2676.0,0.1921522
0 days 14:59:59,6.0,60.0,2700.0,2.3178067
0 days 14:59:59,6.0,60.0,2724.0,2.3748653
0 days 14:59:59,6.0,60.0,2748.0,1.2662753
0 days 14:59:59,6.0,60.0,2772.0,1.5545332
0 days 14:59:59,6.0,60.0,2796.0,1.6253253
0 days 14:59:59,6.0,60.0,2820.0,2.2743278
0 days 14:59:59,6.0,60.0,2844.0,2.1812136
0 days 14:59:59,6.0,60.0,2868.0,2.3968804
0 days 14:59:59,6.0,60.0,2892.0,2.4808826
0 days 14:59:59,6.0,60.0,2916.0,0.9979244
0 days 14:59:59,6.0,60.0,2940.0,1.3878146
0 days 14:59:59,6.0,60.0,2964.0,1.4958835
0 days 14:59:59,6.0,60.0,2988.0,2.1767268
0 days 14:59:59,6.0,60.0,3012.0,1.3295813
0 days 14:59:59,6.0,60.0,3036.0,2.3262997
0 days 14:59:59,6.0,60.0,3060.0,1.5339186
0 days 14:59:59,6.0,84.0,12.0,1.9864126
0 days 14:59:59,6.0,84.0,36.0,0.73845136
0 days 14:59:59,6.0,84.0,60.0,0.53472114
0 days 14:59:59,6.0,84.0,84.0,1.8317318
0 days 14:59:59,6.0,84.0,108.0,1.7987809
0 days 14:59:59,6.0,84.0,132.0,1.7143238
0 days 14:59:59,6.0,84.0,156.0,0.5814733
0 days 14:59:59,6.0,84.0,180.0,1.8900068
0 days 14:59:59,6.0,84.0,204.0,1.33069
0 days 14:59:59,6.0,84.0,228.0,2.365862
0 days 14:59:59,6.0,84.0,252.0,1.984206
0 days 14:59:59,6.0,84.0,276.0,3.069359
0 days 14:59:59,6.0,84.0,300.0,3.159222
0 days 14:59:59,6.0,84.0,324.0,2.5793598
0 days 14:59:59,6.0,84.0,348.0,2.0384288
0 days 14:59:59,6.0,84.0,372.0,0.8483049
0 days 14:59:59,6.0,84.0,396.0,2.8029017
0 days 14:59:59,6.0,84.0,420.0,2.48279
0 days 14:59:59,6.0,84.0,444.0,2.484864
0 days 14:59:59,6.0,84.0,468.0,2.522147
0 days 14:59:59,6.0,84.0,492.0,2.8165762
0 days 14:59:59,6.0,84.0,516.0,2.7286212
0 days 14:59:59,6.0,84.0,540.0,2.8224852
0 days 14:59:59,6.0,84.0,564.0,3.2440586
0 days 14:59:59,6.0,84.0,588.0,1.0024896
0 days 14:59:59,6.0,84.0,612.0,2.268828
0 days 14:59:59,6.0,84.0,636.0,2.9778464
0 days 14:59:59,6.0,84.0,660.0,3.335908
0 days 14:59:59,6.0,84.0,684.0,2.4561555
0 days 14:59:59,6.0,84.0,708.0,0.09876482
0 days 14:59:59,6.0,84.0,732.0,2.715602
0 days 14:59:59,6.0,84.0,756.0,2.995226
0 days 14:59:59,6.0,84.0,780.0,2.8800626
0 days 14:59:59,6.0,84.0,804.0,3.1331728
0 days 14:59:59,6.0,84.0,828.0,3.0776556
0 days 14:59:59,6.0,84.0,852.0,3.4244964
0 days 14:59:59,6.0,84.0,876.0,3.171982
0 days 14:59:59,6.0,84.0,900.0,3.3747888
0 days 14:59:59,6.0,84.0,924.0,2.9651613
0 days 14:59:59,6.0,84.0,948.0,3.831247
0 days 14:59:59,6.0,84.0,972.0,1.21691
0 days 14:59:59,6.0,84.0,996.0,2.8362942
0 days 14:59:59,6.0,84.0,1020.0,3.5797873
0 days 14:59:59,6.0,84.0,1044.0,3.0762305
0 days 14:59:59,6.0,84.0,1068.0,3.7262979
0 days 14:59:59,6.0,84.0,1092.0,3.672858
0 days 14:59:59,6.0,84.0,1116.0,3.7157793
0 days 14:59:59,6.0,84.0,1140.0,3.8180504
0 days 14:59:59,6.0,84.0,1164.0,3.3565648
0 days 14:59:59,6.0,84.0,1188.0,2.2637968
0 days 14:59:59,6.0,84.0,1212.0,1.8402276
0 days 14:59:59,6.0,84.0,1236.0,2.3601384
0 days 14:59:59,6.0,84.0,1260.0,3.1164358
