time,zu1_xy,y,x,rad_net*_xy
0 days 14:59:59,6.0,84.0,1740.0,387.60178
0 days 14:59:59,6.0,84.0,1764.0,235.73625
0 days 14:59:59,6.0,84.0,1788.0,236.50719
0 days 14:59:59,6.0,84.0,1812.0,236.04105
0 days 14:59:59,6.0,84.0,1836.0,233.66328
0 days 14:59:59,6.0,84.0,1860.0,234.44928
0 days 14:59:59,6.0,84.0,1884.0,234.10693
0 days 14:59:59,6.0,84.0,1908.0,231.09245
0 days 14:59:59,6.0,84.0,1932.0,-51.20096
0 days 14:59:59,6.0,84.0,1956.0,246.97333
0 days 14:59:59,6.0,84.0,1980.0,279.3237
0 days 14:59:59,6.0,84.0,2004.0,240.32928
0 days 14:59:59,6.0,84.0,2028.0,245.14842
0 days 14:59:59,6.0,84.0,2052.0,-50.492813
0 days 14:59:59,6.0,84.0,2076.0,246.91928
0 days 14:59:59,6.0,84.0,2100.0,251.38855
0 days 14:59:59,6.0,84.0,2124.0,-64.13282
0 days 14:59:59,6.0,84.0,2148.0,249.1667
0 days 14:59:59,6.0,84.0,2172.0,307.29355
0 days 14:59:59,6.0,84.0,2196.0,238.35583
0 days 14:59:59,6.0,84.0,2220.0,-47.480133
0 days 14:59:59,6.0,84.0,2244.0,299.97464
0 days 14:59:59,6.0,84.0,2268.0,256.58328
0 days 14:59:59,6.0,84.0,2292.0,255.46268
0 days 14:59:59,6.0,84.0,2316.0,349.02637
0 days 14:59:59,6.0,84.0,2340.0,243.84715
0 days 14:59:59,6.0,84.0,2364.0,246.394
0 days 14:59:59,6.0,84.0,2388.0,242.96234
0 days 14:59:59,6.0,84.0,2412.0,245.79669
0 days 14:59:59,6.0,84.0,2436.0,268.18146
0 days 14:59:59,6.0,84.0,2460.0,245.88254
0 days 14:59:59,6.0,84.0,2484.0,257.7677
0 days 14:59:59,6.0,84.0,2508.0,237.5879
0 days 14:59:59,6.0,84.0,2532.0,-62.08298
0 days 14:59:59,6.0,84.0,2556.0,242.26534
0 days 14:59:59,6.0,84.0,2580.0,237.93507
0 days 14:59:59,6.0,84.0,2604.0,250.3622
0 days 14:59:59,6.0,84.0,2628.0,363.83514
0 days 14:59:59,6.0,84.0,2652.0,182.89464
0 days 14:59:59,6.0,84.0,2676.0,-57.1021
0 days 14:59:59,6.0,84.0,2700.0,251.01794
0 days 14:59:59,6.0,84.0,2724.0,268.84677
0 days 14:59:59,6.0,84.0,2748.0,232.6389
